"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","Q_ij","net_trade_ij"
"ARG","AUS",2000,"Cocoa",0.3176717,0.2122723
"ARG","AUS",2000,"Wheat",0.026604,-1.938075
"ARG","AUS",2005,"Cocoa",0.4806327,0.4806327
"ARG","AUS",2005,"Corn",0.0276104,0.0276104
"ARG","AUS",2010,"Cocoa",0.7573939,0.7573939
"ARG","AUS",2010,"Corn",1.0631679,1.0631679
"ARG","AUS",2010,"Rice",0.0329015,0.0329015
"ARG","AUS",2010,"Wheat",0.0060569,0.0053438
"ARG","AUS",2015,"Cocoa",0.66264035,0.66264035
"ARG","AUS",2015,"Coffee",0.0083044,0.0083044
"ARG","AUS",2015,"Corn",0.4317215,0.4317215
"ARG","AUS",2015,"Wheat",0.0006767,0.0006767
"ARG","AUS",2020,"Cocoa",0.5678868,0.5678868
"ARG","AUS",2020,"Corn",0.7306863,0.7306863
"ARG","AUS",2020,"Wheat",0,-0.0320772
"ARG","BRA",2000,"Cocoa",4.037852,-8.6263398
"ARG","BRA",2000,"Coffee",0.0358779,-24.3325844
"ARG","BRA",2000,"Corn",56.2679348,53.2509563
"ARG","BRA",2000,"Rice",132.2530656,125.4259391
"ARG","BRA",2000,"Soyabean",0.548361,0.313162
"ARG","BRA",2000,"Wheat",3787.95685375,3785.60877325
"ARG","BRA",2005,"Cocoa",3.4943275,-10.4328468
"ARG","BRA",2005,"Coffee",0.069536,-25.1723285
"ARG","BRA",2005,"Corn",98.2068361,96.2571334
"ARG","BRA",2005,"Rice",155.0284249,153.7521902
"ARG","BRA",2005,"Soyabean",0.058899,-16.7192928
"ARG","BRA",2005,"Wheat",4570.3836144,4567.9987556
"ARG","BRA",2010,"Cocoa",5.1460188,-9.70786
"ARG","BRA",2010,"Coffee",0,-24.2659248
"ARG","BRA",2010,"Corn",14.3290335,11.7118933
"ARG","BRA",2010,"Rice",92.9155867,89.2519372
"ARG","BRA",2010,"Soyabean",0.434592,0.1537964
"ARG","BRA",2010,"Wheat",2989.3926543,2987.3260763
"ARG","BRA",2015,"Cocoa",6.8201646,-7.74163305
"ARG","BRA",2015,"Coffee",0,-24.3684623
"ARG","BRA",2015,"Corn",1.9505627,0.8673421
"ARG","BRA",2015,"Rice",164.3070175,162.8591011
"ARG","BRA",2015,"Soyabean",1.049982,0.796589
"ARG","BRA",2015,"Wheat",3379.361735,3377.37501725
"ARG","BRA",2020,"Cocoa",2.9022945,-11.367422
"ARG","BRA",2020,"Coffee",0,-23.3219867
"ARG","BRA",2020,"Corn",102.4858893,98.9827924
"ARG","BRA",2020,"Palm_oil",0,-0.057539
"ARG","BRA",2020,"Rice",117.9426957,117.9426957
"ARG","BRA",2020,"Soyabean",0.4914765,0.2106809
"ARG","BRA",2020,"Wheat",4196.5519725,4194.645115
"ARG","CAN",2000,"Cocoa",2.1227438,1.9676281
"ARG","CAN",2000,"Coffee",0.0064614,-0.1472391
"ARG","CAN",2000,"Corn",2.84e-05,-0.0130616
"ARG","CAN",2000,"Rice",0.0648194,0.0648194
"ARG","CAN",2000,"Soyabean",0.0007965,0.0007965
"ARG","CAN",2000,"Wheat",0.2889217,0.2435738
"ARG","CAN",2005,"Cocoa",1.8199067,1.8199067
"ARG","CAN",2005,"Rice",0.0912885,0.0912885
"ARG","CAN",2005,"Soyabean",0.810794,0.810794
"ARG","CAN",2005,"Wheat",0.2549997,0.2549997
"ARG","CAN",2010,"Cocoa",3.247309,3.247309
"ARG","CAN",2010,"Corn",0.0602632,0.0602632
"ARG","CAN",2010,"Rice",0.2570164,0.2570164
"ARG","CAN",2010,"Soyabean",0.955926,0.955926
"ARG","CAN",2010,"Wheat",0.4186487,0.3136537
"ARG","CAN",2015,"Cocoa",0.5530397,0.5530397
"ARG","CAN",2015,"Corn",0.120498,0.120498
