"FABLE_Exporter","FABLE_Importer","dist_adj","Year","FABLE_Item","Q_ij","net_trade_ij","ln_dist","ln_quantity_kt","cost_per_tonne_km","transport_cost_usd_t"
"ARG","AUS",12044.57,2005,"Cocoa",0.4806327,0.4806327,9.39636921495137,-0.732651918044319,0.0173891704265296,209.445080444265
"ARG","AUS",12044.57,2000,"Wheat",0.026604,-1.938075,9.39636921495137,-3.62669369855996,0.0178997731750431,215.595070990929
"ARG","AUS",12044.57,2010,"Rice",0.0329015,0.0329015,9.39636921495137,-3.41423702954496,0.0178617842824516,215.137511114887
"ARG","AUS",12044.57,2000,"Cocoa",0.3176717,0.2122723,9.39636921495137,-1.14673681942063,0.0174613256445706,210.314159018826
"ARG","AUS",12044.57,2015,"Corn",0.4317215,0.4317215,9.39636921495137,-0.839974574556831,0.0174078429643163,209.669983132716
"ARG","AUS",12044.57,2010,"Wheat",0.0060569,0.0053438,9.39636921495137,-5.10655716094296,0.0181666351039976,218.809308174556
"ARG","AUS",12044.57,2020,"Wheat",0,-0.0320772,9.39636921495137,0,0,0
"ARG","AUS",12044.57,2010,"Corn",1.0631679,1.0631679,9.39636921495137,0.0612530360875254,0.0172516635004176,207.788868647224
"ARG","AUS",12044.57,2015,"Wheat",0.0006767,0.0006767,9.39636921495137,-7.29828251472609,0.0185691932211865,223.657947596106
"ARG","AUS",12044.57,2020,"Cocoa",0.5678868,0.5678868,9.39636921495137,-0.565833175897675,0.0173601862134257,209.095978060641
"ARG","AUS",12044.57,2010,"Cocoa",0.7573939,0.7573939,9.39636921495137,-0.277871817415373,0.0173102674931775,208.494728540301
"ARG","AUS",12044.57,2015,"Coffee",0.0083044,0.0083044,9.39636921495137,-4.79096978416188,0.01810939386739,218.11986209335
"ARG","AUS",12044.57,2005,"Corn",0.0276104,0.0276104,9.39636921495137,-3.58956276564049,0.0178931280560464,215.515033390015
"ARG","AUS",12044.57,2015,"Cocoa",0.66264035,0.66264035,9.39636921495137,-0.411522894501999,0.0173334183193469,208.773570286656
"ARG","AUS",12044.57,2020,"Corn",0.7306863,0.7306863,9.39636921495137,-0.313771049505388,0.0173164828618484,208.569589983333
"ARG","BRA",2391.846,2000,"Cocoa",4.037852,-8.6263398,7.77982073172706,1.39571286741113,0.011181508305604,26.7444459147257
"ARG","BRA",2391.846,2000,"Coffee",0.0358779,-24.3325844,7.77982073172706,-3.32763377193249,0.0117223213984633,28.0379875476288
"ARG","BRA",2391.846,2010,"Corn",14.3290335,11.7118933,7.77982073172706,2.66228779364785,0.0110407792259707,26.4078436285212
"ARG","BRA",2391.846,2010,"Soyabean",0.434592,0.1537964,7.77982073172706,-0.833347619060479,0.0114335495287806,27.3472897062159
