"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg"
"R_NEU","Corn",2000,127.7
"R_NEU","Soyabean",2000,207.3
"R_NEU","Wheat",2000,129.1
"R_NMC","Wheat",2000,181.3
"ARG","Corn",2000,82
"ARG","Rice",2000,116.1
"ARG","Soyabean",2000,180.1
"ARG","Wheat",2000,108.1
"R_NMC","Wheat",2000,181.3
"AUS","Corn",2000,88.7
"AUS","Rice",2000,154.8
"AUS","Soyabean",2000,199.4
"AUS","Wheat",2000,113.1
"R_OEU","Corn",2000,100.45
"R_OEU","Soyabean",2000,190.95
"R_OEU","Wheat",2000,101.8
"R_NMC","Corn",2000,164.4
"R_NMC","Rice",2000,259.4
"R_NMC","Wheat",2000,181.3
"R_ASP","Rice",2000,162.1
"R_ASP","Wheat",2000,154.6
"R_NEU","Corn",2000,127.7
"R_NEU","Wheat",2000,129.1
"R_OEU","Wheat",2000,101.8
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_ASP","Corn",2000,178
"R_ASP","Rice",2000,162.1
"R_ASP","Soyabean",2000,311.5
"R_ASP","Wheat",2000,154.6
"R_CSA","Cocoa",2000,640
"R_CSA","Coffee",2000,1410.4
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_CSA","Soyabean",2000,190
"R_CSA","Wheat",2000,185.45
"R_NEU","Corn",2000,127.7
"R_NEU","Soyabean",2000,207.3
"R_NEU","Wheat",2000,129.1
"R_SSA","Corn",2000,125.7
"BRA","Cocoa",2000,757.6
"BRA","Coffee",2000,676.7
"BRA","Corn",2000,110.4
"BRA","Rice",2000,136.1
"BRA","Soyabean",2000,156.3
"BRA","Wheat",2000,118.6
"R_ASP","Corn",2000,178
"R_ASP","Rice",2000,162.1
"R_OEU","Corn",2000,100.45
"R_OEU","Rice",2000,243.7
"R_OEU","Soyabean",2000,190.95
"R_OEU","Wheat",2000,101.8
"R_SSA","Corn",2000,125.7
"R_SSA","Rice",2000,165.7
"R_SSA","Soyabean",2000,260.4
"R_SSA","Corn",2000,125.7
"R_ASP","Corn",2000,178
"R_ASP","Rice",2000,162.1
"R_ASP","Soyabean",2000,311.5
"R_SSA","Cocoa",2000,490.15
"R_SSA","Coffee",2000,573.65
"R_SSA","Palm Oil",2000,554.55
"CAN","Soyabean",2000,177.1
"CAN","Wheat",2000,91.6
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_CSA","Wheat",2000,185.45
"CHN","Corn",2000,410.7
"CHN","Rice",2000,205.4
"CHN","Soyabean",2000,287.5
"CHN","Wheat",2000,118.3
"COL","Cocoa",2000,1075.5
"COL","Coffee",2000,1348
"COL","Corn",2000,201.9
"COL","Palm Oil",2000,385.2
"COL","Rice",2000,198.1
"COL","Soyabean",2000,309
"COL","Wheat",2000,200.1
"R_SSA","Cocoa",2000,490.15
"R_SSA","Coffee",2000,573.65
"R_SSA","Corn",2000,125.7
"R_SSA","Rice",2000,165.7
"R_CSA","Coffee",2000,1410.4
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_SSA","Cocoa",2000,490.15
"R_SSA","Coffee",2000,573.65
"R_SSA","Corn",2000,125.7
"R_SSA","Palm Oil",2000,554.55
"R_SSA","Rice",2000,165.7
"R_OEU","Corn",2000,100.45
"R_OEU","Soyabean",2000,190.95
"R_OEU","Wheat",2000,101.8
"R_OEU","Wheat",2000,101.8
"R_OEU","Corn",2000,100.45
"R_OEU","Wheat",2000,101.8
"DNK","Wheat",2000,110
"R_CSA","Cocoa",2000,640
"R_CSA","Coffee",2000,1410.4
"R_CSA","Corn",2000,211.05
