"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","adv_ij_agg","sdt_ij_agg","Regional_lv"
"R_NMC","R_NEU",2000,"Coffee",0.121881123541327,167.667866883212,"R_NMC"
"R_SSA","R_NEU",2000,"Coffee",0.119029576756843,86.8948142303323,"R_SSA"
"ARG","R_NEU",2000,"Coffee",0.130403930489796,154.239496480479,"R_CSA"
"AUS","R_NEU",2000,"Coffee",0.130590236093878,154.459855502305,"R_ASP"
"R_OEU","R_NEU",2000,"Coffee",0.0746294836616541,123.198176825997,"R_OEU"
"R_ASP","R_NEU",2000,"Coffee",0.125608487494218,101.258412288835,"R_ASP"
"R_CSA","R_NEU",2000,"Coffee",0.129939518080427,173.5602612836,"R_CSA"
"BRA","R_NEU",2000,"Coffee",0.13166858047551,89.1001284077778,"R_CSA"
"CAN","R_NEU",2000,"Coffee",0.130590236093878,154.459855502305,"R_WRL"
"CHN","R_NEU",2000,"Coffee",0.13022351394898,154.026102940056,"R_ASP"
"COL","R_NEU",2000,"Coffee",0.13022351394898,175.541296803225,"R_CSA"
"DEU","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"DNK","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"ETH","R_NEU",2000,"Coffee",0.113966613308163,100.552742921792,"R_SSA"
"FIN","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"GBR","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"GRC","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"IDN","R_NEU",2000,"Coffee",0.13022351394898,119.480074048189,"R_ASP"
"IND","R_NEU",2000,"Coffee",0.131604537271429,155.659553259247,"R_ASP"
"IRL","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"MEX","R_NEU",2000,"Coffee",0.120295358820408,36.6900844402245,"R_CSA"
"NOR","R_NEU",2000,"Coffee",0.115982222738776,137.181751874536,"R_OEU"
"NPL","R_NEU",2000,"Coffee",0.115354911504082,136.43977907807,"R_ASP"
"RUS","R_NEU",2000,"Coffee",0.111515455934694,153.881627595993,"R_NEU"
"RWA","R_NEU",2000,"Coffee",0.115354911504082,68.3823915396196,"R_SSA"
"SWE","R_NEU",2000,"Coffee",0.0652493099918367,87.0814148121111,"R_OEU"
"TUR","R_NEU",2000,"Coffee",0.12438673445102,147.122461865347,"R_NEU"
"USA","R_NEU",2000,"Coffee",0.130590236093878,762.908159260433,"R_WRL"
"R_NMC","ARG",2000,"Coffee",0.137857142857143,226.788785714286,"R_NMC"
"R_SSA","ARG",2000,"Coffee",0.137857142857143,105.596760015361,"R_SSA"
"R_NEU","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_NEU"
"AUS","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"R_OEU","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"R_ASP","ARG",2000,"Coffee",0.137857142857143,119.1003,"R_ASP"
"R_CSA","ARG",2000,"Coffee",0.125324675324675,178.542545454545,"R_CSA"
"BRA","ARG",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"CAN","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_WRL"
"CHN","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"COL","ARG",2000,"Coffee",0.137857142857143,185.831428571429,"R_CSA"
"DEU","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"DNK","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"ETH","ARG",2000,"Coffee",0.137857142857143,121.631357142857,"R_SSA"
"FIN","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"GBR","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"GRC","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"IDN","ARG",2000,"Coffee",0.137857142857143,126.483928571429,"R_ASP"
"IND","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"IRL","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"MEX","ARG",2000,"Coffee",0.137857142857143,42.0464285714286,"R_CSA"
"NOR","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"NPL","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_ASP"
"RUS","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_NEU"
"RWA","ARG",2000,"Coffee",0.137857142857143,81.7217142857143,"R_SSA"
"SWE","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_OEU"
"TUR","ARG",2000,"Coffee",0.137857142857143,163.055026184099,"R_NEU"
"USA","ARG",2000,"Coffee",0.137857142857143,805.361428571429,"R_WRL"
"R_NMC","AUS",2000,"Coffee",0.154549052620008,632.496039344397,"R_NMC"
"R_SSA","AUS",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"R_NEU","AUS",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"ARG","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"R_OEU","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"R_ASP","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"R_CSA","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"BRA","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"CAN","AUS",2000,"Coffee",0.154036460381677,868.861882636017,"R_WRL"
"CHN","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"COL","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"DEU","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"DNK","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"ETH","AUS",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"FIN","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GBR","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"GRC","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"IDN","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"IND","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"IRL","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"MEX","AUS",2000,"Coffee",0.147544497502961,239.852093408115,"R_CSA"
"NOR","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"NPL","AUS",2000,"Coffee",0.153996133660172,268.885839502883,"R_ASP"
"RUS","AUS",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"RWA","AUS",2000,"Coffee",0.152288429050812,235.384369663322,"R_SSA"
"SWE","AUS",2000,"Coffee",0.178855232151308,378.831776403924,"R_OEU"
"TUR","AUS",2000,"Coffee",0.154879814919143,328.658840843006,"R_NEU"
"USA","AUS",2000,"Coffee",0.154036460381677,868.861882636017,"R_WRL"
"R_NMC","R_OEU",2000,"Coffee",0.0617729288492064,109.75699827519,"R_NMC"
"R_SSA","R_OEU",2000,"Coffee",0.0399558450752334,42.1529273745512,"R_SSA"
"R_NEU","R_OEU",2000,"Coffee",0.0554023503268707,97.9358480270666,"R_NEU"
"ARG","R_OEU",2000,"Coffee",0.0720806326206349,125.357382213953,"R_CSA"
"AUS","R_OEU",2000,"Coffee",0.0867532433047619,110.629993512501,"R_ASP"
"R_ASP","R_OEU",2000,"Coffee",0.0613633326434855,72.4115431970784,"R_ASP"
