"from_iso3","to_iso3","FABLE_Item","q_initial","net_initial","trade_USD_t","adv","sdt_USD_t","dummy_q_initial"
"ARG","AUS","Cocoa",0.5678868,0.5678868,418.191956121282,0.025,46.0379971943104,1
"ARG","AUS","Corn",0.7306863,0.7306863,417.139179966666,0.224915441219451,54.3079945019573,1
"ARG","AUS","Wheat",0,-0.0320772,551.578138281287,0.0117647058823529,3.37823598507997,0
"ARG","BRA","Cocoa",2.9022945,-11.367422,53.6658101017255,0.110636957819419,178.698787986893,1
"ARG","BRA","Coffee",0,-23.3219867,102.695584332508,0.147544497502961,239.852093408115,0
"ARG","BRA","Corn",102.4858893,98.9827924,51.7867269748541,0.224915441219451,54.3079945019573,1
"ARG","BRA","Palm Oil",0,-0.057539,102.695584332508,0.130898515355839,105.417378070925,0
"ARG","BRA","Rice",117.9426957,117.9426957,51.714031286993,0.269288505822901,77.5145370573465,1
"ARG","BRA","Soyabean",0.4914765,0.2106809,54.6273429044683,0.103617278435781,42.3809164193311,1
"ARG","BRA","Wheat",4196.5519725,4194.645115,49.8994981992846,0.194828084524874,43.9769389504382,1
"ARG","CAN","Cocoa",0.1447721,0.1447721,309.85477039527,0.24183333333,445.340892853491,1
"ARG","CAN","Corn",0.1404705,0.1404705,309.948246852823,0.224915441219451,54.3079945019573,1
"ARG","CAN","Rice",2.1909685,2.1909685,301.549542671838,0.03153006364,15.2061395830005,1
"ARG","CAN","Soyabean",0.758749,0.758749,304.764273094404,0.02375,13.1304314808223,1
"ARG","CAN","Wheat",0.0939468,0.0939468,311.197583223647,0.290090146605882,83.2994026353948,1
"ARG","CHN","Cocoa",0.1341367,-0.7479182,758.993342918191,0.099,182.310468889469,1
"ARG","CHN","Corn",0.0420844,0.0420844,767.842650145601,0.4,131.181378120565,1
"ARG","CHN","Rice",0,-0.0007792,551.578138281287,0.46666666666,225.061343135479,0
"ARG","CHN","Soyabean",5475.825872,5475.6881767,682.541317798448,0.09375,51.8306505821931,1
"ARG","CHN","Wheat",0,-0.1570457,551.578138281287,0.24,68.9160140956313,0
"ARG","COL","Cocoa",0.2607545,0.00189830000000002,125.855190119886,0.0732,134.799255784941,1
"ARG","COL","Coffee",0,-0.5990547,102.695584332508,0.147544497502961,239.852093408115,0
"ARG","COL","Corn",542.8287259,538.2027709,116.596850627802,0.224915441219451,54.3079945019573,1
"ARG","COL","Palm Oil",0,-0.261872,102.695584332508,0.130898515355839,105.417378070925,0
"ARG","COL","Wheat",26.2789785,26.2789785,120.181428930105,0.00441176470588235,1.26683849440499,1
"ARG","DEU","Cocoa",0,-0.2221966,315.905127977025,0.06172029833,113.659156853942,0
"ARG","DEU","Coffee",0,-0.0306078,315.905127977025,0.0738492235142857,181.583876213876,0
"ARG","DEU","Corn",13.9796916,13.9796916,388.195447974868,0.360969633657143,118.381235007048,1
"ARG","DEU","Soyabean",27.379434,27.379434,385.594801082439,0.0305,16.8622383227402,1
"ARG","DEU","Wheat",0.0159819,-0.3853511,415.402523346898,0.245018861494118,70.3571804684339,1
"ARG","DNK","Corn",3.28485,3.28485,409.260928641294,0.360969633657143,118.381235007048,1
"ARG","DNK","Wheat",0,-0.0172204,315.905127977025,0.245018861494118,70.3571804684339,0
"ARG","ETH","Coffee",0,-0.038984,306.601357824664,0.257142857142857,632.274714867904,0
"ARG","ETH","Corn",29.984,29.984,377.484144207897,0.171428571428571,56.2205906230991,1
"ARG","ETH","Wheat",277.96216,277.96216,369.171148977062,0.240196078429412,68.9723180281529,1
"ARG","FIN","Corn",0.103008,0.103008,466.934073478215,0.360969633657143,118.381235007048,1
"ARG","GBR","Coffee",0,-0.0868631,315.905127977025,0.0738492235142857,181.583876213876,0
"ARG","GBR","Corn",208.5909061,208.5909061,357.152991740043,0.360969633657143,118.381235007048,1
"ARG","GBR","Rice",0.7778747,0.7778747,377.692316238738,0.35499436906,171.204663229965,1
