"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","Q_ij","net_trade_ij"
"ARG","AUS",2020,"Cocoa",0.5678868,0.5678868
"ARG","AUS",2020,"Corn",0.7306863,0.7306863
"ARG","AUS",2020,"Wheat",0,-0.0320772
"ARG","BRA",2020,"Cocoa",2.9022945,-11.367422
"ARG","BRA",2020,"Coffee",0,-23.3219867
"ARG","BRA",2020,"Corn",102.4858893,98.9827924
"ARG","BRA",2020,"Palm Oil",0,-0.057539
"ARG","BRA",2020,"Rice",117.9426957,117.9426957
"ARG","BRA",2020,"Soyabean",0.4914765,0.2106809
"ARG","BRA",2020,"Wheat",4196.5519725,4194.645115
"ARG","CAN",2020,"Cocoa",0.1447721,0.1447721
"ARG","CAN",2020,"Corn",0.1404705,0.1404705
"ARG","CAN",2020,"Rice",2.1909685,2.1909685
"ARG","CAN",2020,"Soyabean",0.758749,0.758749
"ARG","CAN",2020,"Wheat",0.0939468,0.0939468
"ARG","CHN",2020,"Cocoa",0.1341367,-0.7479182
"ARG","CHN",2020,"Corn",0.0420844,0.0420844
"ARG","CHN",2020,"Rice",0,-0.0007792
"ARG","CHN",2020,"Soyabean",5475.825872,5475.6881767
"ARG","CHN",2020,"Wheat",0,-0.1570457
"ARG","COL",2020,"Cocoa",0.2607545,0.00189830000000002
"ARG","COL",2020,"Coffee",0,-0.5990547
"ARG","COL",2020,"Corn",542.8287259,538.2027709
"ARG","COL",2020,"Palm Oil",0,-0.261872
"ARG","COL",2020,"Wheat",26.2789785,26.2789785
"ARG","DEU",2020,"Cocoa",0,-0.2221966
"ARG","DEU",2020,"Coffee",0,-0.0306078
"ARG","DEU",2020,"Corn",13.9796916,13.9796916
"ARG","DEU",2020,"Soyabean",27.379434,27.379434
"ARG","DEU",2020,"Wheat",0.0159819,-0.3853511
"ARG","DNK",2020,"Corn",3.28485,3.28485
"ARG","DNK",2020,"Wheat",0,-0.0172204
"ARG","ETH",2020,"Coffee",0,-0.038984
"ARG","ETH",2020,"Corn",29.984,29.984
"ARG","ETH",2020,"Wheat",277.96216,277.96216
"ARG","FIN",2020,"Corn",0.103008,0.103008
"ARG","GBR",2020,"Coffee",0,-0.0868631
"ARG","GBR",2020,"Corn",208.5909061,208.5909061
"ARG","GBR",2020,"Rice",0.7778747,0.7778747
"ARG","GBR",2020,"Wheat",0.0082284,-0.0449793
"ARG","GRC",2020,"Corn",2.475756,2.475756
"ARG","IDN",2020,"Cocoa",0,-0.1866863
"ARG","IDN",2020,"Corn",638.1032446,638.1032446
"ARG","IDN",2020,"Soyabean",0.633023,0.633023
"ARG","IDN",2020,"Wheat",2333.7483906,2333.6885136
"ARG","IND",2020,"Corn",3.650404,3.650404
"ARG","IND",2020,"Rice",0,-0.1115392
"ARG","IRL",2020,"Wheat",0,-0.10373
"ARG","MEX",2020,"Cocoa",0,-0.3664594
"ARG","MEX",2020,"Coffee",0,-0.0544544
"ARG","MEX",2020,"Corn",4.6692914,4.6692914
"ARG","MEX",2020,"Rice",33.8436343,33.8436343
"ARG","MEX",2020,"Wheat",0.403796,0.3414005
"ARG","NOR",2020,"Corn",0.397606,0.397606
"ARG","NPL",2020,"Corn",5.5220558,5.5220558
"ARG","RUS",2020,"Cocoa",0.0191702,0.0191702
"ARG","RUS",2020,"Soyabean",113.591,113.591
"ARG","R_ASP",2020,"Cocoa",1.6893469,-0.8861319
"ARG","R_ASP",2020,"Coffee",0,-0.268113
"ARG","R_ASP",2020,"Corn",10535.5030428,10535.5030428
"ARG","R_ASP",2020,"Palm Oil",0,-2.135145
"ARG","R_ASP",2020,"Rice",0.1421219,0.0339592
"ARG","R_ASP",2020,"Soyabean",92.859851,92.859851
"ARG","R_ASP",2020,"Wheat",958.9053793,958.8238753
"ARG","R_CSA",2020,"Cocoa",7.5069971,-5.7913945
"ARG","R_CSA",2020,"Coffee",0.4460667,-0.1183263
"ARG","R_CSA",2020,"Corn",4482.50515415,4476.00266405
"ARG","R_CSA",2020,"Rice",140.3555951,123.4782092
"ARG","R_CSA",2020,"Soyabean",104.4805733,38.4033993
"ARG","R_CSA",2020,"Wheat",705.91128415,705.52579755
"ARG","R_NEU",2020,"Cocoa",0,-0.1005943
"ARG","R_NEU",2020,"Coffee",0,-0.3732422
"ARG","R_NEU",2020,"Corn",0.4060761,0.4060761
"ARG","R_NEU",2020,"Wheat",0.2214668,0.2214668
"ARG","R_NMC",2020,"Cocoa",0.6293107,0.6293107
"ARG","R_NMC",2020,"Corn",10081.374175,10081.374175
"ARG","R_NMC",2020,"Rice",2.3706922,2.2870096
"ARG","R_NMC",2020,"Soyabean",648.862903,648.862903
