"iso3","to_iso3","conprice_spem"
"ARG",NA,283.695025709307
"AUS",NA,323.656747189834
"BRA",NA,135.824363553858
"CAN",NA,265.901030782218
"CHN",NA,504.965044118953
"COL",NA,403.817371946317
"DEU",NA,242.793257050658
"DNK",NA,254.659592411164
"ETH",NA,340.965987581273
"FIN",NA,268.759595292174
"GBR",NA,252.775010052322
"GRC",NA,284.500272572097
"IDN",NA,478.853665247953
"IND",NA,484.327442010533
"MEX",NA,315.342054557721
"NOR",NA,369.13260774037
"NPL",NA,359.769788093422
"RUS",NA,189.280511454846
"RWA",NA,351.194499794712
"R_ASP",NA,691.835871063548
"R_CSA",NA,354.28282786819
"R_NEU",NA,253.142017833882
"R_NMC",NA,439.43681228844
"R_OEU",NA,282.763588775198
"R_SSA",NA,364.618995026378
"SWE",NA,262.83284999211
"TUR",NA,288.4095693405
"USA",NA,257.616485669258
