"iso3","to_iso3","prodprice_spem"
"ARG",NA,197.035416006975
"AUS",NA,303.935969201782
"BRA",NA,116.386669595769
"CAN",NA,199.245810270623
"CHN",NA,456.007061950279
"COL",NA,368.361977367639
"DEU",NA,207.937809111926
"DNK",NA,242.890994980517
"ETH",NA,311.368252997348
"FIN",NA,243.002905793119
"GBR",NA,225.895904578898
"GRC",NA,269.879947700903
"IDN",NA,348.881635185542
"IND",NA,324.17085910036
"MEX",NA,199.868391779996
"NOR",NA,241.744232225168
"NPL",NA,322.294200531499
"RUS",NA,164.893685906462
"RWA",NA,345.168485598545
"R_ASP",NA,319.761567567531
"R_CSA",NA,328.206536405166
"R_NEU",NA,226.267990973199
"R_NMC",NA,294.47948197356
"R_OEU",NA,212.346091626748
"R_SSA",NA,278.297092570526
"SWE",NA,224.354790806135
"TUR",NA,201.398845900403
"USA",NA,198.277454270839
