"iso3","SPAM_Code","demand_elas","supply_elas","demand_q","supply_q","Production_USD_t"
"ARG","COFFEE",-1.21508632212631,0.671370406769313,96,96,1873.74068886893
"AUS","COFFEE",-1.08458698867875,0.593349009124546,155,155,1674.46666666667
"BRA","COFFEE",-1.21508632212631,0.671370406769313,720.3395923,3592.152827,1694.43333333333
"CAN","COFFEE",-0.126360455134231,0.498306217675281,258,258,9632.385712719
"CHN","COFFEE",-1.26476918285727,0.593349009124546,354.247826068,358.9295154,1674.46666666667
"COL","COFFEE",-1.21508632212631,0.671370406769313,81.039389749,796.6337209,3095.97942214241
"DEU","COFFEE",-0.214633578100902,0.20155639490814,535,535,17363.7280379872
"DNK","COFFEE",-0.214633578100902,0.20155639490814,66,66,17363.7280379872
"ETH","COFFEE",-0.516413568374158,0.536480195516946,338,585,1069.36666666667
"FIN","COFFEE",-0.214633578100902,0.20155639490814,72,72,17363.7280379872
"GBR","COFFEE",-0.214633578100902,0.258521656359511,299,299,17363.7280379872
"GRC","COFFEE",-0.214633578100902,0.20155639490814,95,95,17363.7280379872
"IDN","COFFEE",-1.26476918285727,0.593349009124546,36.4105386000001,1046.0175045,1445.03333333333
"IND","COFFEE",-1.26476918285727,0.593349009124546,3.00000003200001,326.111465,1674.46666666667
"MEX","COFFEE",-1.21508632212631,0.454176871192734,62.060963609,168.8847926,264.833333333333
"NOR","COFFEE",-0.214633578100902,0.20155639490814,64,64,17363.7280379872
"NPL","COFFEE",-1.26476918285727,0.593349009124546,2,2,1674.46666666667
"RUS","COFFEE",-0.225564730788466,1.08754811255341,438,438,4323.26405624244
"RWA","COFFEE",-0.516413568374158,0.536480195516946,9.99999860695766e-10,21.05263158,1069.36666666667
"R_ASP","COFFEE",-1.26476918285727,0.593349009124546,2077.00000044,2446.131549,1903.9
"R_CSA","COFFEE",-1.21508632212631,0.671370406769313,502.196145,1360.532936,2439.71666666667
"R_NEU","COFFEE",-0.225564730788466,1.08754811255341,444,444,4323.26405624244
"R_NMC","COFFEE",-0.557626603045552,0.623350867053896,1058.999999995,1060.3447619,4323.26405624244
"R_OEU","COFFEE",-0.214633578100902,0.20155639490814,1735.72247517,1749.855046,1857.63100553782
"R_SSA","COFFEE",-0.516413568374158,0.536480195516946,319.41480193,709.0881597,1069.36666666667
"SWE","COFFEE",-0.214633578100902,0.20155639490814,133,133,17363.7280379872
"TUR","COFFEE",-0.225564730788466,0.435655520907384,173,173,4323.26405624244
"USA","COFFEE",-0.126360455134231,0.498306217675281,1640,1640,9632.385712719
