"iso3","demand_elas","supply_elas","demand_q","supply_q","Production_USD_t","SPAM_code"
"ARG",-0.239562942,1.1088,6377.9985385,17844.1865,281.479166666667,"CORN"
"AUS",-0.23,0.5566,5318.2501556,14861.18304,303.933333333333,"CORN"
"BRA",-0.14,0.8316,12456.2599363,12725.385627,166.266666666667,"CORN"
"CAN",-0.238347792,0.9152,11769.45168106,36829.4043,176.166666666667,"CORN"
"CHN",-0.14,0.6237,170747.806474,174167.96937,419.833333333333,"CORN"
"COL",-0.204624682,0.4851,2144.54614249,2173.568584,389.566666666667,"CORN"
"DEU",-0.239412741,0.7744,18118.18603,23354.75432,212.8,"CORN"
"DNK",-0.24,0.7744,3874.3620795,4291.096604,224.366666666667,"CORN"
"ETH",-0.29804453,0.44,6442.1050273,6675.818605,311.358333333333,"CORN"
"FIN",-0.24,0.7392,788.22452512,799.306768,224.366666666667,"CORN"
"GBR",-0.23792799,0.7392,17312.17416205,17353.279443,224.366666666667,"CORN"
"GRC",-0.1,0.7744,1905.79120049,1924.4373435,269.9,"CORN"
"IDN",-0.340589679,0.6237,10252.64037,10252.64037,345.833333333333,"CORN"
"IND",-0.215,0.8712,92910.732126,98598.2633,330.485571973308,"CORN"
"MEX",-0.234495326,0.847,5725.2088054,5876.570281,221.366666666667,"CORN"
"NOR",-0.24,0.7744,1179.33967884,1209.652024,224.366666666667,"CORN"
"NPL",-0.274533373,0.462,2233.490841,2484.3966772,270.233333333333,"CORN"
"RUS",-0.11,0.6237,43503.1767072,81373.56993,164.5,"CORN"
"RWA",-0.380817247,0.4389,132,132,345.166666666667,"CORN"
"R_ASP",-0.191225242428672,0.404617598870057,30690.8792657,31075.409051,312.594526533206,"CORN"
"R_CSA",-0.221721844590909,0.5376,12891.7550269,13220.646902,348.716666666667,"CORN"
"R_NEU",-0.13546867825,0.7524,18372.5510776,35761.0117,213.833333333333,"CORN"
"R_NMC",-0.127389894037037,0.645862962962963,130936.858386,138012.22892,283.716666666667,"CORN"
"R_OEU",-0.158498632,0.74835,89291.804798,109901.066,190.4,"CORN"
"R_SSA",-0.348690399157895,0.486078421052632,22104.602612,22515.972428,277.55,"CORN"
"SWE",-0.24,0.7744,2031.39331394,2978.81399,224.366666666667,"CORN"
"TUR",-0.113235716,0.5313,22245.005616,23675.51365,181.9,"CORN"
"USA",-0.198380099,1.584,42274.750638,63902.75512,178.2,"CORN"
