"iso3","SPAM_Code","demand_elas","supply_elas","demand_q","supply_q","Production_USD_t"
"ARG","PALM OIL",-0.441105382381095,0.346982832882731,3,3,704.916666666667
"AUS","PALM OIL",-1.45966763399861,0.679002026120452,87,87,969.216666666667
"BRA","PALM OIL",-0.441105382381095,0.346982832882731,776.99999998,776.99999998,704.916666666667
"CAN","PALM OIL",-0.109317390519695,0.444074310790259,55,55,835.826666666667
"CHN","PALM OIL",-1.40837633730808,0.679002026120452,6435.23827276217,6559.58086956217,985.446752963298
"COL","PALM OIL",-0.441105382381095,0.346982832882731,1160.0000001,1566.931269,802.366666666667
"DEU","PALM OIL",-0.465019965909938,0.549185206405468,415,415,830.866666666667
"DNK","PALM OIL",-0.465019965909938,0.549185206405468,89,89,830.866666666667
"ETH","PALM OIL",-0.699600732429921,1.03586476812784,601,601,835.826666666667
"FIN","PALM OIL",-0.465019965909938,0.576248640917872,1,1,830.866666666667
"GBR","PALM OIL",-0.465019965909938,0.355629998405307,386,386,830.866666666667
"GRC","PALM OIL",-0.465019965909938,0.549185206405468,71,71,830.866666666667
"IDN","PALM OIL",-1.40837633730808,0.679002026120452,16785.90018,40368.04419,969.216666666667
"IND","PALM OIL",-1.40837633730808,0.517014078471281,7872,7872,969.216666666667
"MEX","PALM OIL",-0.441105382381095,0.436361425954363,674,674,704.916666666667
"NOR","PALM OIL",-0.465019965909938,0.305430798956007,1,1,830.866666666667
"NPL","PALM OIL",-1.40837633730808,0.679002026120452,76,76,969.216666666667
"RUS","PALM OIL",-1.35268580560438,0.995305977444774,1044,1044,835.826666666667
"RWA","PALM OIL",-0.699600732429921,1.03586476812784,20,20,835.826666666667
"R_ASP","PALM OIL",-1.40837633730808,0.679002026120452,13616.980181155,22797.11203,734.8
"R_CSA","PALM OIL",-0.441105382381095,0.50752386682711,1664.881398881,2845.665585,607.466666666667
"R_NEU","PALM OIL",-1.35268580560438,0.995305977444774,291,291,835.826666666667
"R_NMC","PALM OIL",-0.793964939544826,1.2434950512684,6033,6033,835.826666666667
"R_OEU","PALM OIL",-0.465019965909938,0.549185206405468,5547,5547,830.866666666667
"R_SSA","PALM OIL",-1.29310356408562,1.03586476812784,7414.25660151,7461.500176,835.826666666667
"SWE","PALM OIL",-0.465019965909938,0.244136839671759,154,154,830.866666666667
"TUR","PALM OIL",-1.35268580560438,0.995305977444774,621,621,835.826666666667
"USA","PALM OIL",-0.109317390519695,0.444074310790259,1375,1375,835.826666666667
