"iso3","demand_elas","supply_elas","demand_q","supply_q","Production_USD_t","SPAM_code"
"ARG",-0.323725248,1.365,1222.62990256,1762.758836,310.824898899865,"RICE"
"AUS",-0.393340221,0.44,488.000100039,488.87465219,367.332552800735,"RICE"
"BRA",-0.234388489,0.609,9430.2606889,10959.56017,240.966666666667,"RICE"
"CAN",-0.37788832,0.286,713,713,309.366666666667,"RICE"
"CHN",-0.25,0.525,208362.572393,216722.413399,413.9,"RICE"
"COL",-0.26316005,0.84,4010.20913069,4052.2987892,410.482928932792,"RICE"
"DEU",-0.384015755,0.77,617.7482456,617.7482456,339.975,"RICE"
"DNK",-0.380739209,0.77,92.33582686,92.33582686,339.975,"RICE"
"ETH",-0.447187338,0.65,1336.168035825,1344.1990984,558.786378893438,"RICE"
"FIN",-0.380739209,0.735,62,62,339.975,"RICE"
"GBR",-0.381527312,0.735,2035.563468,2035.563468,339.975,"RICE"
"GRC",-0.269060627,0.77,116.607475956,251.720031,290.733333333333,"RICE"
"IDN",-0.297059786,0.546,54978.0841918,57972.1417528,353.8,"RICE"
"IND",-0.243136787,0.624,155068.7004,182910.2614,359.583177226814,"RICE"
"MEX",-0.348422894,0.44,1654.00010012,1692.7424448,241.866666666667,"RICE"
"NOR",-0.380739209,0.77,43.02570571,43.02570571,339.975,"RICE"
"NPL",-0.259426043,0.37485,7542.6423931,8241.193849,273.9,"RICE"
"RUS",-0.326311659,0.693,1209.16933218,1246.6539158,275.7,"RICE"
"RWA",-0.455722184,0.4725,259.251572281,263.3929712,812.266666666667,"RICE"
"R_ASP",-0.249441746103814,0.379392542372881,183096.428767,204120.9964,388.983333333333,"RICE"
"R_CSA",-0.285650914909091,0.499545454545455,13195.3371883,13466.509298,349.983333333333,"RICE"
"R_NEU",-0.303996317125,0.756,413.993724298,414.74507407,698.7,"RICE"
"R_NMC",-0.281387512074074,0.538470740740741,22487.9221358,23095.529562,507.841197819838,"RICE"
"R_OEU",-0.325191059772727,0.743909090909091,3766.52578985,3799.073101,389.216666666667,"RICE"
"R_SSA",-0.417908374894737,0.534986842105263,40128.434559,43017.87998,305.30609112021,"RICE"
"SWE",-0.380739209,0.77,132.164479,132.164479,339.975,"RICE"
"TUR",-0.282243306,0.63,1434.99999996,1459.3887061,526.066666666667,"RICE"
"USA",-0.398274677,0.9432,5890.3016301,8643.5856,309.366666666667,"RICE"
