"iso3","demand_elas","supply_elas","demand_q","supply_q","Production_USD_t","SPAM_code"
"ARG",-0.411450628,0.5418,37968.6008438,39548.41911,428.488888888889,"SOYABEAN"
"AUS",-0.228633161,0.242,16.931076181,17.514906394,675.678435369108,"SOYABEAN"
"BRA",-0.456153609,0.6846,45533.046922,136592.1005,339,"SOYABEAN"
"CAN",-0.308863114,0.8138,2282.19749118,6424.655168,368.733333333333,"SOYABEAN"
"CHN",-0.256458156,0.6237,188754.876769,190374.05172,712.530408143097,"SOYABEAN"
"COL",-0.290704866,0.525,381.643753202,384.63967035,428.488888888889,"SOYABEAN"
"DEU",-0.359580545,0.6534,3395.29274677,3407.4871536,440.820511068598,"SOYABEAN"
"DNK",-0.358127884,0.6534,88.25400175,88.25400175,452.558333333333,"SOYABEAN"
"ETH",-0.438168295,0.225,88.47008548,169.6885246,557.475,"SOYABEAN"
"FIN",-0.358127884,0.6237,29.13333333,29.13333333,452.558333333333,"SOYABEAN"
"GBR",-0.358707344,0.6237,576.9232243,576.9232243,452.558333333333,"SOYABEAN"
"GRC",-0.344390509,0.6534,125.389495255,125.810265373,452.558333333333,"SOYABEAN"
"IDN",-0.131067409,0.378,2664.7703748,2733.8478032,612.866666666667,"SOYABEAN"
"IND",-0.331372307,0.7944,11843.8633227,12733.0616179,675.678435369108,"SOYABEAN"
"MEX",-0.287113034,0.4818,3500.26110884,3573.67578433,396.9,"SOYABEAN"
"NOR",-0.358127884,0.6534,283.3288547,283.3288547,452.558333333333,"SOYABEAN"
"NPL",-0.656282834,0.294,143.867182132,150.17344737,746.366666666667,"SOYABEAN"
"RUS",-0.232266061,0.63,335.279163296,342.5590551,423.033333333333,"SOYABEAN"
"RWA",-0.438125448,0.189,23.076923077,25,672.566666666667,"SOYABEAN"
"R_ASP",-0.366138698308616,0.333104904761905,13750.5708033,14091.835762,630.95,"SOYABEAN"
"R_CSA",-0.295407444727273,0.4805,7520.034329,16074.39027,549.566666666667,"SOYABEAN"
"R_NEU",-0.33386565675,0.6348375,1039.7580954,2478.391406,437.733333333333,"SOYABEAN"
"R_NMC",-0.351239041925926,0.379814814814815,5065.24440344,5118.3902052,482.252058843748,"SOYABEAN"
"R_OEU",-0.331699446590909,0.636136363636364,7067.11820897,7118.18639,433.283333333333,"SOYABEAN"
"R_SSA",-0.425749428684211,0.212863157894737,1482.38158579,1648.091497,442.383333333333,"SOYABEAN"
"SWE",-0.358127884,0.6534,1,1,452.558333333333,"SOYABEAN"
"TUR",-0.375270128,0.189,3294.0151677,3429.2166526,414.3,"SOYABEAN"
"USA",-0.373933728,0.768,64927.6407226,130799.8232,402.866666666667,"SOYABEAN"
