"iso3","demand_elas","supply_elas","demand_q","supply_q","Production_USD_t","SPAM_code"
"ARG",-0.179763825,0.8064,6377.9985385,17844.1865,428.488888888889,"WHEAT"
"AUS",-0.248132749,0.7656,5318.2501556,14861.18304,675.678435369108,"WHEAT"
"BRA",-0.219806039,0.7812,12456.2599363,12725.385627,339,"WHEAT"
"CAN",-0.261902109,0.936,11769.45168106,36829.4043,368.733333333333,"WHEAT"
"CHN",-0.345443575,0.6972,170747.806474,174167.96937,712.530408143097,"WHEAT"
"COL",-0.189317766,0.63,2144.54614249,2173.568584,428.488888888889,"WHEAT"
"DEU",-0.274060386,0.7656,18118.18603,23354.75432,440.820511068598,"WHEAT"
"DNK",-0.271671257,0.7656,3874.3620795,4291.096604,452.558333333333,"WHEAT"
"ETH",-0.448284763,0.75,6442.1050273,6675.818605,557.475,"WHEAT"
"FIN",-0.271671257,0.7308,788.22452512,799.306768,452.558333333333,"WHEAT"
"GBR",-0.271684784,0.7308,17312.17416205,17353.279443,452.558333333333,"WHEAT"
"GRC",-0.203307437,0.8184,1905.79120049,1924.4373435,452.558333333333,"WHEAT"
"IDN",-0.380176211,0.596019302325581,10252.64037,10252.64037,612.866666666667,"WHEAT"
"IND",-0.45800258,0.6504,92910.732126,98598.2633,675.678435369108,"WHEAT"
"MEX",-0.274687733,0.946,5725.2088054,5876.570281,396.9,"WHEAT"
"NOR",-0.271671257,0.7656,1179.33967884,1209.652024,452.558333333333,"WHEAT"
"NPL",-0.339655626,0.5544,2233.490841,2484.3966772,746.366666666667,"WHEAT"
"RUS",-0.214324713,0.6489,43503.1767072,81373.56993,423.033333333333,"WHEAT"
"RWA",-0.445246871,0.5544,132,132,672.566666666667,"WHEAT"
"R_ASP",-0.334448790327213,0.491679825581395,30690.8792657,31075.409051,630.95,"WHEAT"
"R_CSA",-0.2173126945,0.593290909090909,12891.7550269,13220.646902,549.566666666667,"WHEAT"
"R_NEU",-0.221880799625,0.76935,18372.5510776,35761.0117,437.733333333333,"WHEAT"
"R_NMC",-0.224408302925926,0.5376,130936.858386,138012.22892,482.252058843748,"WHEAT"
"R_OEU",-0.234463381818182,0.736595454545455,89291.804798,109901.066,433.283333333333,"WHEAT"
"R_SSA",-0.434218737736842,0.56544,22104.602612,22515.972428,442.383333333333,"WHEAT"
"SWE",-0.271671257,0.7656,2031.39331394,2978.81399,452.558333333333,"WHEAT"
"TUR",-0.223235716,0.4536,22245.005616,23675.51365,414.3,"WHEAT"
"USA",-0.297881473,0.816,42274.750638,63902.75512,402.866666666667,"WHEAT"
