"from_iso3","to_iso3","q_initial","net_initial","trade_USD_t","adv","sdt_USD_t","dummy_q_initial","SPAM_code"
"R_NMC","R_NMC",217.678571428571,0,51.6357727156375,0,0,1,"PALM OIL"
"R_NEU","R_NEU",10,0,27.991616949075,0,0,1,"PALM OIL"
"R_SSA","R_SSA",211.615384615385,0,82.3785079232431,0,0,1,"PALM OIL"
"ARG","ARG",3,0,94.6029624728623,0,0,1,"PALM OIL"
"AUS","AUS",87,0,19.965486578174,0,0,1,"PALM OIL"
"R_OEU","R_OEU",255.5,0,24.5911712452982,0,0,1,"PALM OIL"
"R_CSA","R_CSA",76.1363636363636,0,69.4695788034077,0,0,1,"PALM OIL"
"R_ASP","R_ASP",624.227272727273,0,138.093099469441,0,0,1,"PALM OIL"
"BRA","BRA",777,0,20.3353039250893,0,0,1,"PALM OIL"
"CAN","CAN",103,0,28.4185899065201,0,0,1,"PALM OIL"
"CHN","CHN",6324,0,16.9399334592368,0,0,1,"PALM OIL"
"COL","COL",1160,0,53.1840839106465,0,0,1,"PALM OIL"
"DNK","DNK",88,0,13.280819828131,0,0,1,"PALM OIL"
"ETH","ETH",600,0,30.4423514556146,0,0,1,"PALM OIL"
"FIN","FIN",2,0,27.5464200988004,0,0,1,"PALM OIL"
"DEU","DEU",415,0,43.7553832477324,0,0,1,"PALM OIL"
"GRC","GRC",70,0,15.9707799310213,0,0,1,"PALM OIL"
"IND","IND",7872,0,161.435719969519,0,0,1,"PALM OIL"
"IDN","IDN",18613,0,125.558104062175,0,0,1,"PALM OIL"
"MEX","MEX",674,0,127.483096076591,0,0,1,"PALM OIL"
"NPL","NPL",76,0,28.126305675942,0,0,1,"PALM OIL"
"NOR","NOR",2,0,43.8172868679253,0,0,1,"PALM OIL"
"RUS","RUS",1043,0,24.9832396597736,0,0,1,"PALM OIL"
"RWA","RWA",20,0,6.24002131085707,0,0,1,"PALM OIL"
"SWE","SWE",153,0,40.5559124182115,0,0,1,"PALM OIL"
"TUR","TUR",620,0,70.9777729487964,0,0,1,"PALM OIL"
"GBR","GBR",386,0,29.0575958875706,0,0,1,"PALM OIL"
"USA","USA",1375,0,36.6014292214305,0,0,1,"PALM OIL"
"ARG","AUS",0,0,551.578138281287,0.130898515355839,105.417378070925,0,"PALM OIL"
"BRA","AUS",0,0,551.578138281287,0.130898515355839,105.417378070925,0,"PALM OIL"
"CAN","AUS",0,0,453.379166450607,0.141133065965334,113.983969547673,0,"PALM OIL"
"CHN","AUS",0,0,133.146008124487,0.122388434182343,97.5546801577388,0,"PALM OIL"
"COL","AUS",0,0,551.578138281287,0.130898515355839,105.417378070925,0,"PALM OIL"
"DEU","AUS",0,0,350.821917808868,0.161581551931102,131.564910471673,0,"PALM OIL"
"DNK","AUS",0,0,350.821917808868,0.161581551931102,131.564910471673,0,"PALM OIL"
"ETH","AUS",0,0,340.564107323453,0.131725916430395,117.306718158099,0,"PALM OIL"
"FIN","AUS",0,0,350.821917808868,0.161581551931102,131.564910471673,0,"PALM OIL"
"GBR","AUS",0,0,350.821917808868,0.161581551931102,131.564910471673,0,"PALM OIL"
"GRC","AUS",0,0,350.821917808868,0.161581551931102,131.564910471673,0,"PALM OIL"
"IDN","AUS",0,0,133.146008124487,0.122388434182343,97.5546801577388,0,"PALM OIL"
"IND","AUS",0,0,133.146008124487,0.122388434182343,97.5546801577388,0,"PALM OIL"
"MEX","AUS",0,0,551.578138281287,0.130898515355839,105.417378070925,0,"PALM OIL"
