"from_iso3","to_iso3","q_initial","net_initial","trade_USD_t","adv","sdt_USD_t","dummy_q_initial","SPAM_code"
"ARG","BRA",117.9426957,117.9426957,51.714031286993,0.269288505822901,77.5145370573465,1,"RICE"
"ARG","CAN",2.1909685,2.1909685,301.549542671838,0.03153006364,15.2061395830005,1,"RICE"
"ARG","CHN",0,-0.0007792,551.578138281287,0.46666666666,225.061343135479,0,"RICE"
"ARG","GBR",0.7778747,0.7778747,377.692316238738,0.35499436906,171.204663229965,1,"RICE"
"ARG","IND",0,-0.1115392,551.578138281287,0.68,327.946528573526,0,"RICE"
"ARG","MEX",33.8436343,33.8436343,222.268410584802,0.0624,30.0939167396883,1,"RICE"
"ARG","R_ASP",0.1421219,0.0339592,582.601153899959,0.778568094786667,421.815968787645,1,"RICE"
"ARG","R_CSA",140.3555951,123.4782092,115.683062998573,0.150125396824762,120.026383445116,1,"RICE"
"ARG","R_NMC",2.3706922,2.2870096,466.265274438798,0.074211282052,52.7070170223298,1,"RICE"
"ARG","R_OEU",68.460826,68.2467119,384.506857552843,0.339716904112222,104.893303884013,1,"RICE"
"ARG","R_SSA",17.9589703,17.9589703,265.25693438011,0.150553976373077,71.8396895856126,1,"RICE"
"ARG","TUR",24.9923701,24.9923701,420.849758174489,0.3934,189.726712265919,1,"RICE"
"ARG","USA",9.8976999,9.8976999,268.90375160289,0.02218984038,10.7015898856201,1,"RICE"
"AUS","CAN",0.9315779,0.9315779,566.745091989289,0.01148530168,5.94628590391689,1,"RICE"
"AUS","CHN",0,-0.5129216,133.146008124487,0.46333333334,239.881593502424,0,"RICE"
"AUS","DEU",0.1302078,0.1302078,603.867394523803,0.2635614846,136.453702685186,1,"RICE"
"AUS","GBR",0.5364179,0.3805537,626.956251803437,0.2635614846,136.453702685186,1,"RICE"
"AUS","IND",0,-100.2859181,133.146008124487,0.68,352.056439379787,0,"RICE"
"AUS","RUS",0.0644776,0.0644776,489.998895301042,0.10444444444,54.0740282684506,1,"RICE"
"AUS","R_ASP",21.79916675,-122.3673448,175.210609461593,0.457954102878889,304.098876751336,1,"RICE"
"AUS","R_CSA",0,-1.6978134,569.516911017818,0.196395238095238,110.062304212937,0,"RICE"
"AUS","R_NEU",0.0111821,0.0111821,591.497077470017,0.0953375236057143,49.3591016175208,1,"RICE"
"AUS","R_NMC",70.7431507,43.534813,434.04135323881,0.0773001709408,58.253758167281,1,"RICE"
"AUS","R_OEU",0,-5.4049877,319.664161222784,0.253363624344444,88.936053659051,0,"RICE"
"AUS","R_SSA",1.061323,1.061323,481.664690259434,0.150545881831538,77.1139222534706,1,"RICE"
"AUS","USA",0.4230701,-14.5535587,543.828475839868,0.247450837965234,86.7283237783019,1,"RICE"
"BRA","ARG",0,-117.9426957,102.695584332508,0.269288505822901,77.5145370573465,0,"RICE"
"BRA","CAN",1.9938485,1.9938485,264.561102438157,0.01222585666,2.486739244644,1,"RICE"
"BRA","CHN",0.0067037,0.0067037,686.690589807859,0.46666666666,94.919999998644,1,"RICE"
"BRA","DEU",0.0964467,0.0964467,311.300372785892,0.26005655472,52.895503230048,1,"RICE"
"BRA","GBR",0.3218657,0.3218657,288.542347856273,0.26005655472,52.895503230048,1,"RICE"
"BRA","GRC",0.0299979,0.0299979,319.915457028752,0.26005655472,52.895503230048,1,"RICE"
"BRA","IND",0.0035735,-0.0658578,529.349899406368,0.68,138.312,1,"RICE"
"BRA","MEX",77.1432476,77.1432476,223.686207913827,0.1264,25.70976,1,"RICE"
"BRA","NOR",0.0272855,0.0272855,341.793271523523,0.20301610388,41.293475529192,1,"RICE"
"BRA","R_ASP",0.0974209,-4.3304109,591.641366921687,0.71685170102,163.779340485901,1,"RICE"
"BRA","R_CSA",685.1266106,175.1701789,112.135700097681,0.150125396824762,50.6213290906625,1,"RICE"
"BRA","R_NEU",80.0652962,80.0652962,301.36813785881,0.0897383825514286,18.2527870109606,1,"RICE"
"BRA","R_NMC",19.8676355,19.6439056,365.683474340427,0.074211282052,22.229273077236,1,"RICE"
"BRA","R_OEU",45.4301602,43.1937586,294.677600999578,0.250053412791111,34.583751615024,1,"RICE"
"BRA","R_SSA",505.5697338,505.5697338,195.737315176438,0.150543904820769,30.2949590836104,1,"RICE"
"BRA","TUR",23.1308595,23.1308595,327.828384263063,0.3934,80.01756,1,"RICE"
"BRA","USA",68.4040429,-49.3283264,241.370978668865,0.01881173858,3.826307627172,1,"RICE"
"CAN","ARG",0,-2.1909685,153.774593418838,0.09533333334,45.9768172444056,0,"RICE"
"CAN","AUS",0,-0.9315779,453.379166450607,0.280646362675752,87.4262141615603,0,"RICE"
"CAN","BRA",0,-1.9938485,153.774593418838,0.09533333334,45.9768172444056,0,"RICE"
"CAN","CHN",0,-1.7073719,453.379166450607,0.46666666666,225.061343135479,0,"RICE"
"CAN","DEU",0,-0.0438969,214.645091214405,0.280646362675752,87.4262141615603,0,"RICE"
"CAN","GBR",0.5469228,0.4118766,168.398049958292,0.280646362675752,87.4262141615603,1,"RICE"
"CAN","IDN",0,-0.0123654,453.379166450607,0.06158817854,29.7023961078817,0,"RICE"
"CAN","IND",0.9292657,-28.6389322,416.423568661329,0.68,327.946528573526,1,"RICE"
"CAN","MEX",0,-0.0251444,153.774593418838,0.280646362675752,87.4262141615603,0,"RICE"
"CAN","RUS",0,-0.0413668,272.338283509057,0.10444444444,50.3708720336596,0,"RICE"
"CAN","R_ASP",0.4238395,-169.7223568,426.253788923642,0.552414747986667,319.055495123468,1,"RICE"
"CAN","R_CSA",0.1783732,-0.65452875,154.088831211954,0.195385714285714,108.293690836933,1,"RICE"
"CAN","R_NEU",0,-0.0111493,272.338283509057,0.0953375236057143,45.978838101898,0,"RICE"
"CAN","R_NMC",0.0081187,-18.5137655,331.648756979,0.0761001709408,54.2643611375975,1,"RICE"
"CAN","R_OEU",0.0983401,-3.17267425,218.261476533549,0.000555555555555556,2.41137153362887,1,"RICE"
"CAN","R_SSA",0.0739399,0.0327712,375.806504194721,0.150545881831538,71.8329230173041,1,"RICE"
"CAN","TUR",0,-0.0030942,272.338283509057,0.3934,189.726712265919,0,"RICE"
"CAN","USA",3.7324007,-206.4533563,44.8720794623636,0.280646362675752,87.4262141615603,1,"RICE"
"CHN","ARG",0.0007792,0.0007792,799.092314034713,0.09533333334,39.429866669424,1,"RICE"
"CHN","AUS",0.5129216,0.5129216,263.648404539686,0.247450837965234,86.7283237783019,1,"RICE"
"CHN","BRA",0,-0.0067037,569.516911017818,0.09533333334,39.429866669424,0,"RICE"
"CHN","CAN",1.7073719,1.7073719,344.946904043749,0.01222585666,5.056614314576,1,"RICE"
"CHN","DEU",0.270036,0.270036,252.84956593792,0.26005655472,107.559391032192,1,"RICE"
"CHN","FIN",0.0028377,0.0028377,211.215465969663,0.26005655472,107.559391032192,1,"RICE"
"CHN","GBR",0.1839903,0.1839903,274.192615955887,0.26005655472,107.559391032192,1,"RICE"
"CHN","IND",0,-1.79441715,133.146008124487,0.68,281.248,0,"RICE"
"CHN","RUS",9.4513104,9.2897119,151.666727121286,0.07833333334,32.398666669424,1,"RICE"
"CHN","RWA",1.5935125,1.5935125,322.648759643204,0.41,169.576,1,"RICE"
"CHN","R_ASP",750.0753335,-1179.424347,119.546194849937,0.693675775094444,367.104386458794,1,"RICE"
"CHN","R_CSA",5.2529842,5.2529842,552.632447041285,0.1983,88.8988596076809,1,"RICE"
"CHN","R_NEU",7.42486565,7.42486565,235.644527730375,0.0843659819371429,34.8937701292023,1,"RICE"
"CHN","R_NMC",169.92447385,-371.96462845,180.236039819538,0.0696646153848,42.263424359266,1,"RICE"
"CHN","R_OEU",89.6834229,89.6834229,236.57224370687,0.250053412791111,70.323695516096,1,"RICE"
"CHN","R_SSA",1186.82996575,1186.82996575,352.152897999178,0.150544607366154,61.6032326515115,1,"RICE"
"CHN","TUR",137.5763045,137.5763045,208.096889336855,0.3934,162.71024,1,"RICE"
"CHN","USA",2.1753281,2.0223945,375.794601495627,0.03876784884,16.034382280224,1,"RICE"
"COL","DEU",0,-0.0073134,315.905127977025,0.22331559328,128.304957011486,0,"RICE"
"COL","R_ASP",0,-0.2715746,551.578138281287,0.711021145464445,458.860024011903,0,"RICE"
"COL","R_CSA",2.8172269,-168.7131776,49.532156303332,0.140211111110476,130.442563585337,1,"RICE"
"COL","R_OEU",0,-0.255391,315.905127977025,0.215353615875556,87.1342963227575,0,"RICE"
"COL","USA",0,-165.8858129,171.858198768296,0.269288505822901,77.5145370573465,0,"RICE"
"DEU","AUS",0,-0.1302078,350.821917808868,0.204484751838461,85.3146678830753,0,"RICE"
"DEU","BRA",0,-0.0964467,322.633886466213,0.09533333334,45.9768172444056,0,"RICE"
"DEU","CAN",0.0438969,0.0438969,198.823755664531,0.204484751838461,85.3146678830753,1,"RICE"
"DEU","CHN",0,-0.270036,350.821917808868,0.46666666666,225.061343135479,0,"RICE"
"DEU","COL",0.0073134,0.0073134,308.398553331765,0.5,241.137153362887,1,"RICE"
"DEU","DNK",5.2681524,4.8544447,94.8965635713464,0.204484751838461,85.3146678830753,1,"RICE"
"DEU","ETH",3.8961039,3.8961039,148.555321425752,0.06,28.9364584035464,1,"RICE"
"DEU","FIN",1.1012921,1.1012921,28.4735505035881,0.204484751838461,85.3146678830753,1,"RICE"
